week,off_team_name,player_name,receptions_avg,average_passing_yards,average_rushing_yards,average_recieving_yards,passing_tds_avg,rushing_tds_avg,recieving_tds_avg,average_fantasy_points,week_fantasy_points,bust_percent,bust_points_average,boom_percent,boom_points_average,last_three_weeks_diff,passing_target_percentage,rushing_percentage,def_team_name,epa_per_play,epa_per_rush,epa_per_pass,pass_percent,rush_percent,allowed_passing_yards,allowed_rushing_yards,sack_yards,avg_epa_against,pass_epa_against,rush_epa_against,points_against,season,bust_adjusted_avg,recent_momentum,boom_weighted_avg,total_usage,boom_bust_ratio,td_rate,matchup_advantage,offensive_efficiency,recent_volatility,boom_potential,bust_risk,variance_score,xgb_predicted_points
4,ARI,K.Murray,0.0,211.66666666666663,53.66666666666666,0.0,1.6666666666666667,0.0,0.0,19.166666666666668,9.98,0.0,19.166666666666668,0.0,19.166666666666668,0.0,0.0,0.0675675675675675,WAS,0.0458609432438816,-0.0252636973237506,0.1091696892436422,52.57142857142857,47.42857142857143,262.0,122.33333333333331,-8.0,0.2784978234144614,0.4753241518192471,0.0001291589562646,29.33333333333333,2024,19.166666666666668,19.166666666666668,19.166666666666668,0.0675675675675675,0.0,1.6666666666666667,-0.2326368801705798,0.003098712381343348,0.0,0.0,0.0,0.0,17.43337
5,ARI,K.Murray,0.0,194.25,41.0,0.0,1.5,0.0,0.0,16.87,24.1,0.0,16.87,0.25,28.54,0.8966666666666647,0.0,0.048076923076923,SF,0.0165276018894969,-0.0010316067924176,0.0333364170379963,50.64377682403433,49.35622317596567,210.25,97.0,-16.0,-0.0806184697421177,-0.0807600387131215,-0.0804297111141126,20.5,2024,16.87,17.766666666666666,21.087500000000002,0.048076923076923,25.0,1.5,0.0971460716316146,0.0007945962446873497,0.8966666666666647,11.669999999999998,0.0,4.2175,22.211693
6,ARI,K.Murray,0.0,194.4,49.4,0.0,1.4,0.2,0.0,18.316000000000003,11.96,0.0,18.316000000000003,0.2,28.54,-2.029333333333337,0.0,0.0629921259842519,GB,0.0312668720486867,0.0557273521180407,0.0086367680389443,51.55709342560554,48.44290657439446,255.4,110.2,-23.8,-0.0930725388115973,-0.0801198655396027,-0.1128149198471375,20.4,2024,18.316000000000003,16.286666666666665,21.979200000000002,0.0629921259842519,20.0,1.5999999999999999,0.124339410860284,0.001969566743224357,2.029333333333337,10.223999999999997,0.0,3.6632000000000007,12.951691
7,ARI,K.Murray,0.0,197.66666666666663,43.5,0.0,1.3333333333333333,0.1666666666666666,0.0,17.256666666666664,20.2,0.0,17.256666666666664,0.1666666666666666,28.540000000000003,-1.9099999999999984,0.0,0.0699300699300699,LAC,0.0040809939735897,0.0115632089297196,-0.002398018977249,52.61627906976744,47.38372093023256,199.8,95.2,-17.4,-0.1932743022528143,-0.1839416152938591,-0.2071869189231086,13.2,2024,17.256666666666664,15.346666666666666,20.132777777777772,0.0699300699300699,16.66666666666666,1.4999999999999998,0.19735529622640402,0.0002853841939573215,1.9099999999999984,11.283333333333339,0.0,2.8761111111111095,17.173853
8,ARI,K.Murray,0.0,190.1428571428572,46.42857142857143,0.0,1.2857142857142858,0.2857142857142857,0.0,17.677142857142858,22.18,0.0,17.677142857142858,0.1428571428571428,28.540000000000003,1.076190476190476,0.0,0.0658682634730539,MIA,0.0084402745839479,0.0221852536679035,-0.0037625848954662,52.141057934508815,47.85894206549119,159.33333333333334,130.83333333333334,-10.333333333333334,-0.0903141435687661,-0.0952880159216243,-0.0855244887104581,20.166666666666668,2024,17.677142857142858,18.753333333333334,20.202448979591836,0.0658682634730539,14.28571428571428,1.5714285714285716,0.098754418152714,0.0005559462300804007,1.076190476190476,10.862857142857145,0.0,2.5253061224489786,19.947985
9,ARI,K.Murray,0.0,204.75,43.0,0.0,1.375,0.25,0.0,18.24,4.76,0.0,18.24,0.125,28.54,-0.1266666666666651,0.0,0.0732984293193717,CHI,0.0469634748105499,0.0166527351351112,0.0728722398443273,52.94117647058824,47.05882352941176,213.57142857142856,118.14285714285714,-20.714285714285715,-0.1163379133064559,-0.1836086567835466,-0.0192132895880528,17.0,2024,18.24,18.113333333333333,20.52,0.0732984293193717,12.5,1.625,0.1633013881170058,0.003442348938993185,0.1266666666666651,10.3,0.0,2.28,6.673077
10,ARI,K.Murray,0.0,199.11111111111111,38.888888888888886,0.0,1.2222222222222223,0.2222222222222222,0.0,16.742222222222225,28.74,0.1111111111111111,11.982222222222225,0.1111111111111111,28.540000000000003,-1.0288888888888934,0.0,0.0711111111111111,NYJ,0.0337926847790337,0.0282079730181364,0.0388696954707586,51.55038759689923,48.44961240310077,178.11111111111111,128.0,-23.0,-0.0588388748345051,-0.1527682404115841,0.0433677911574123,19.666666666666668,2024,14.881975308641977,15.713333333333331,18.602469135802473,0.0711111111111111,0.9174311926605505,1.4444444444444446,0.0926315596135388,0.0024030353620646183,1.0288888888888934,11.797777777777778,4.76,3.720493827160494,26.37496
12,ARI,K.Murray,0.0,205.8,37.1,0.0,1.2,0.4,0.0,17.942,10.3,0.1,13.182,0.2,28.64,0.6179999999999986,0.0,0.0745098039215686,SEA,0.0691766231062383,0.0386206541870902,0.0977237220964459,50.87412587412587,49.12587412587413,214.2,137.5,-16.1,0.0144585075586731,0.0041723216659294,0.0272507823780127,22.2,2024,16.1478,18.56,21.5304,0.0745098039215686,1.8181818181818183,1.6,0.0547181155475652,0.005154336623602067,0.6179999999999986,10.698,4.76,5.382600000000001,11.023194
13,ARI,K.Murray,0.0,213.0,34.54545454545455,0.0,1.0909090909090908,0.3636363636363636,0.0,17.247272727272726,15.2,0.0909090909090909,12.487272727272726,0.1818181818181818,28.64,-2.6472727272727266,0.0,0.0749063670411985,MIN,0.0620417820159108,0.0228328096250002,0.0957686488445664,53.02547770700637,46.97452229299363,263.27272727272725,74.0,-23.727272727272727,-0.1408030062974905,-0.0882671496065034,-0.2487533967584228,17.181818181818183,2024,15.679338842975206,14.6,20.383140495867767,0.0749063670411985,1.8018018018018018,1.4545454545454544,0.2028447883134013,0.004647324495573843,2.6472727272727266,11.392727272727274,4.76,4.703801652892562,18.200945
14,ARI,K.Murray,0.0,216.91666666666663,35.666666666666664,0.0,1.0833333333333333,0.3333333333333333,0.0,17.076666666666668,15.96,0.0833333333333333,12.316666666666668,0.1666666666666666,28.64,1.003333333333334,0.0,0.0750853242320819,SEA,0.0621129531563064,0.0270451629104052,0.0916338275188077,53.69318181818182,46.30681818181818,216.41666666666663,126.08333333333331,-17.75,-0.0145400845358558,-0.0245934282588274,-0.0007656980063299,20.75,2024,15.653611111111113,18.080000000000002,19.922777777777778,0.0750853242320819,1.7857142857142858,1.4166666666666665,0.0766530376921622,0.0046637712267533805,1.003333333333334,11.563333333333333,4.76,4.269166666666665,16.266054
